iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality
SSD,Africa,South Sudan,2021-09-17,11800.0,10.0,27.714,121.0,0.0,0.143,1036.781,0.879,2.435,10.631,0.0,0.013,1.4,,,,,,,,,,,,,,,,,,67109.0,55182.0,11927.0,,,1312.0,0.59,0.48,0.1,,115.0,,11381377.0,,19.2,3.441,2.032,1569.888,,280.775,10.43,,,,,57.85,0.433,
ESP,Europe,Spain,2021-09-17,4929546.0,3222.0,3155.0,85783.0,44.0,70.429,105455.637,68.927,67.494,1835.118,0.941,1.507,0.68,1227.0,26.249,4975.0,106.428,20.739,0.444,549.1,11.747,,56889626.0,1217.015,,90685.0,1.94,0.05,20.1,tests performed,69094664.0,37385758.0,35784743.0,,139473.0,126996.0,147.81,79.98,76.55,,2717.0,47.69,46745211.0,93.105,45.5,19.436,13.799,34272.36,1.0,99.403,7.17,27.4,31.4,,2.97,83.56,0.904,
LKA,Asia,Sri Lanka,2021-09-17,500772.0,2078.0,2899.143,11938.0,121.0,134.714,23294.64,96.663,134.861,555.325,5.629,6.267,0.78,,,,,,,,,9672.0,5163974.0,240.215,0.45,10899.0,0.507,0.276,3.6,tests performed,24558102.0,13690202.0,10867900.0,,94649.0,154537.0,114.24,63.68,50.55,,7189.0,,21497306.0,341.955,34.1,10.069,5.331,11669.077,0.7,197.093,10.68,0.3,27.0,,3.6,76.98,0.782,
SDN,Africa,Sudan,2021-09-17,37995.0,0.0,9.143,2875.0,0.0,5.429,846.038,0.0,0.204,64.018,0.0,0.121,0.51,,,,,,,,,,,,,,,,,,1423327.0,648840.0,505413.0,,,25076.0,3.17,1.44,1.13,,558.0,13.89,44909351.0,23.258,19.7,3.548,2.034,4466.507,,431.388,15.67,,,23.437,0.8,65.31,0.51,
SUR,South America,Suriname,2021-09-17,36428.0,611.0,523.429,796.0,8.0,5.714,61554.787,1032.447,884.472,1345.054,13.518,9.656,1.44,,,,,,,,,,,,,,,,,,376042.0,216536.0,159506.0,,3613.0,2032.0,63.54,36.59,26.95,,3434.0,58.33,591798.0,3.612,29.6,6.933,4.229,13767.119,,258.314,12.54,7.4,42.9,67.779,3.1,71.68,0.738,
SWE,Europe,Sweden,2021-09-17,1144982.0,1009.0,995.0,14775.0,22.0,10.286,112693.315,99.309,97.932,1454.21,2.165,1.012,1.24,55.0,5.413,340.0,33.464,21.643,2.13,,,37493.0,,,3.69,37493.0,3.69,0.029,35.0,tests performed,13403076.0,7070462.0,6332614.0,,49609.0,37840.0,131.92,69.59,62.33,,3724.0,37.04,10160159.0,24.718,41.0,19.985,13.433,46949.283,0.5,133.982,4.79,18.8,18.9,,2.22,82.8,0.945,
CHE,Europe,Switzerland,2021-09-17,823078.0,2096.0,2145.714,10999.0,8.0,6.714,94438.479,240.491,246.195,1262.005,0.918,0.77,0.99,262.0,30.061,770.0,88.348,,,318.0,36.487,32826.0,9882439.0,1133.893,3.766,34348.0,3.941,0.073,13.7,tests performed,10055192.0,5270807.0,4587999.0,,33212.0,30592.0,115.37,60.48,52.64,,3510.0,44.44,8715494.0,214.243,43.1,18.436,12.644,57410.166,,99.739,5.59,22.6,28.9,,4.53,83.78,0.955,
SYR,Asia,Syria,2021-09-17,30337.0,184.0,159.429,2112.0,8.0,6.571,1659.963,10.068,8.724,115.563,0.438,0.36,1.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28.7,18275704.0,,21.7,,2.577,,,376.264,,,,70.598,1.5,72.7,0.567,
TWN,Asia,Taiwan,2021-09-17,16123.0,8.0,7.714,839.0,0.0,0.0,675.875,0.335,0.323,35.171,0.0,0.0,0.93,,,,,,,,,24536.0,3092342.0,129.631,1.029,23858.0,1.0,0.0,3553.5,people tested,12938098.0,11536036.0,1402062.0,,229670.0,139489.0,54.24,48.36,5.88,,5847.0,,23855008.0,,42.2,,8.353,,,103.957,,,,,,80.46,,
TJK,Asia,Tajikistan,2021-09-17,17484.0,0.0,6.0,125.0,0.0,0.0,1793.3,0.0,0.615,12.821,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,3446777.0,2168537.0,1278240.0,,113265.0,38892.0,35.35,22.24,13.11,,3989.0,,9749625.0,64.281,23.3,3.466,2.155,2896.913,4.8,427.698,7.11,,,72.704,4.8,71.1,0.668,
TZA,Africa,Tanzania,2021-09-17,1367.0,0.0,0.0,50.0,0.0,0.0,22.228,0.0,0.0,0.813,0.0,0.0,-0.0,,,,,,,,,,,,,,,,,,350000.0,350000.0,350000.0,,,3243.0,0.57,0.57,0.57,,53.0,,61498438.0,64.699,17.7,3.108,1.874,2683.304,49.1,217.288,5.75,3.3,26.7,47.953,0.7,65.46,0.529,
